-1,0,15,30,45,60,75,90,105,120,135,150,165,180
7.1,-0.01548435,-0.014236146,-0.012215829,-0.009667621,-0.009059834,-0.009237721,-0.010449063,-0.013554269,-0.018306192,-0.026510838,-0.039528028,-0.053916134,-0.060665731
7.15,-0.014742961,-0.013674264,-0.01174548,-0.009259202,-0.008738122,-0.009023838,-0.010074317,-0.013134221,-0.017692096,-0.0254616,-0.037827041,-0.051469389,-0.057858955
7.2,-0.014096441,-0.013184495,-0.01124467,-0.008916561,-0.008394604,-0.00879938,-0.009727983,-0.012720312,-0.017096596,-0.024469093,-0.03618973,-0.049134027,-0.05518192
7.25,-0.013546664,-0.012734881,-0.010721914,-0.008636759,-0.008042104,-0.008556642,-0.009414842,-0.012307181,-0.016517323,-0.023538531,-0.03462893,-0.046912465,-0.052636731
7.3,-0.013059675,-0.012286374,-0.010187288,-0.008409156,-0.007699702,-0.00829012,-0.009135227,-0.011892335,-0.015956177,-0.022672475,-0.033156138,-0.044807022,-0.050222629
7.35,-0.012594208,-0.011818188,-0.00966375,-0.008213425,-0.007383734,-0.00800247,-0.008888277,-0.011479196,-0.015417486,-0.021872049,-0.03177305,-0.042812032,-0.047934627
7.4,-0.01211192,-0.011317582,-0.009183542,-0.008027275,-0.007105458,-0.007705798,-0.008670675,-0.011077143,-0.0149046,-0.021133862,-0.030470613,-0.040913677,-0.045764987
7.45,-0.011604719,-0.010785936,-0.008762857,-0.007832627,-0.006871754,-0.007412201,-0.008476854,-0.010696085,-0.014419732,-0.020447257,-0.029237714,-0.039098152,-0.04370092
7.5,-0.011064829,-0.010235417,-0.008412276,-0.007618253,-0.006683146,-0.007129753,-0.008296933,-0.010340525,-0.013963937,-0.019797753,-0.028061773,-0.037361455,-0.041734339
7.55,-0.010497432,-0.009686868,-0.008127818,-0.007374524,-0.006533723,-0.006864815,-0.008120467,-0.010009804,-0.013535204,-0.019166215,-0.026932988,-0.035708149,-0.039868229
7.6,-0.00992598,-0.009166483,-0.007897657,-0.007098795,-0.006412064,-0.006621949,-0.007939446,-0.009700781,-0.013127038,-0.018538703,-0.025847965,-0.034146467,-0.038110336
7.65,-0.009374829,-0.008702794,-0.007704089,-0.006797047,-0.006303446,-0.00640621,-0.007750654,-0.009410907,-0.012733691,-0.017915296,-0.024809151,-0.032680361,-0.036459385
7.7,-0.008873376,-0.0083159,-0.007524066,-0.006480152,-0.006195198,-0.006219569,-0.007553038,-0.009139287,-0.012351272,-0.017295837,-0.023822306,-0.03130896,-0.034900805
7.75,-0.008445692,-0.008007307,-0.007337953,-0.006166786,-0.006077275,-0.006059102,-0.0073455,-0.008886013,-0.011979114,-0.016681242,-0.022893445,-0.030024338,-0.033421619
7.8,-0.008108082,-0.007765667,-0.007131926,-0.005878678,-0.005941994,-0.005921183,-0.007129057,-0.008651259,-0.011618676,-0.016075087,-0.022027237,-0.028813317,-0.032017218
7.85,-0.007848284,-0.007569507,-0.00690019,-0.005630519,-0.00578591,-0.005802061,-0.006906371,-0.00843359,-0.011266401,-0.015483023,-0.021221415,-0.027661194,-0.030684204
7.9,-0.007647054,-0.007391876,-0.00663971,-0.005432145,-0.005608836,-0.005696292,-0.006680864,-0.00822756,-0.01092195,-0.014911476,-0.020466536,-0.026557315,-0.029420826
7.95,-0.007471007,-0.007211359,-0.00635645,-0.005285732,-0.005414139,-0.005597522,-0.006455765,-0.008026219,-0.010585134,-0.014366996,-0.019751373,-0.025498521,-0.028223794
8,-0.007295489,-0.00700905,-0.006060668,-0.005185103,-0.005207521,-0.005499854,-0.006234612,-0.007824829,-0.010257788,-0.013854954,-0.019062932,-0.024487885,-0.027085444
8.05,-0.007100515,-0.00677591,-0.005768885,-0.005117835,-0.004998328,-0.005397204,-0.006022216,-0.007623736,-0.009941995,-0.013374419,-0.018390274,-0.023529105,-0.02599987
8.1,-0.00686975,-0.006509646,-0.005494616,-0.005069226,-0.004797727,-0.005285889,-0.005823722,-0.007425169,-0.009637417,-0.012918477,-0.017731077,-0.02262193,-0.024966583
8.15,-0.006600872,-0.006218379,-0.005252039,-0.005022097,-0.004614408,-0.005163007,-0.00564264,-0.00722997,-0.009343526,-0.012484978,-0.017085752,-0.021764924,-0.02398339
8.2,-0.006302504,-0.005916304,-0.005052577,-0.004962965,-0.004455599,-0.005028188,-0.00547998,-0.007037143,-0.009059999,-0.012074887,-0.016459629,-0.020953278,-0.023041504
