-1,0,15,30,45,60,75,90,105,120,135,150,165,180
4.55,2.357682876,1.720393336,0.689317407,0.138118014,-0.021920906,-0.061550089,-0.083616923,-0.110933121,-0.140732139,-0.100485748,0.258714287,1.172105004,1.807924064
4.6,2.01983805,1.471414544,0.582319206,0.108561075,-0.026494914,-0.060674233,-0.080781681,-0.1070588,-0.138440376,-0.115232277,0.175390097,0.93945456,1.474799561
4.65,1.726684558,1.255193078,0.489359115,0.083337145,-0.030122869,-0.059589296,-0.077939151,-0.103249297,-0.13569833,-0.126750861,0.105354647,0.7414874,1.19056472
4.7,1.472506987,1.067538886,0.408780334,0.061959611,-0.032961053,-0.058312669,-0.075081812,-0.09950522,-0.132599925,-0.13554496,0.046839569,0.573585533,0.948664963
4.75,1.252286219,0.904832485,0.339110823,0.043967064,-0.03518581,-0.056876068,-0.07221268,-0.09584239,-0.12922882,-0.142025854,-0.001743026,0.431613323,0.74336731
4.8,1.061653827,0.763942685,0.279012272,0.02890423,-0.036944324,-0.055339037,-0.069351689,-0.092286754,-0.125667738,-0.146508864,-0.041814396,0.311929712,0.569652299
4.85,0.896820616,0.642109977,0.227277318,0.016332714,-0.038312899,-0.053763877,-0.066559116,-0.08885934,-0.122002732,-0.149244691,-0.074599513,0.211428337,0.42315
4.9,0.75449015,0.536874504,0.182857651,0.005859003,-0.039315347,-0.052176246,-0.063887182,-0.085560913,-0.118313959,-0.150480576,-0.101133992,0.12750542,0.300082498
4.95,0.631759896,0.446025315,0.144861653,-0.002845507,-0.03998157,-0.050575253,-0.061342427,-0.082382316,-0.114648612,-0.150464082,-0.122282327,0.057832148,0.197190467
5,0.526077773,0.367695935,0.112518368,-0.010047588,-0.040369667,-0.048955118,-0.05890849,-0.079298128,-0.111010315,-0.149432146,-0.138784997,0.000283743,0.111638218
5.05,0.435222464,0.300465655,0.085150473,-0.015974195,-0.040527075,-0.047314041,-0.056568908,-0.076284424,-0.107393146,-0.147598756,-0.151333814,-0.046891285,0.040932384
5.1,0.35728305,0.243106773,0.062157059,-0.020829997,-0.040464854,-0.045653063,-0.054311927,-0.073336591,-0.103807612,-0.145137984,-0.160597075,-0.085179632,-0.017122849
5.15,0.290616347,0.194301121,0.042983473,-0.02479073,-0.040185879,-0.043981546,-0.052127596,-0.070472209,-0.100252928,-0.142190512,-0.167155688,-0.115959119,-0.064430711
5.2,0.233781774,0.152788153,0.027098714,-0.027985398,-0.039699556,-0.042298181,-0.050007918,-0.067712093,-0.096723979,-0.138879821,-0.171443634,-0.140335013,-0.102600998
5.25,0.185487221,0.117623451,0.013996584,-0.030499023,-0.039017945,-0.040605009,-0.047948754,-0.065066769,-0.093238123,-0.135318175,-0.173788685,-0.159136056,-0.132976188
5.3,0.144577632,0.08803774,0.003210885,-0.032402579,-0.038184958,-0.03890574,-0.045950859,-0.062546817,-0.08982945,-0.131591277,-0.17447543,-0.173170685,-0.156688944
